;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.65000;0.65000;0.65000;0.65000
0-1-0-0-0;nan;nan;nan;nan;0.54651;0.54651;0.54651;0.54651
0-0-1-0-0;nan;nan;nan;nan;0.49306;0.49306;0.49306;0.49306
0-0-0-1-0;nan;nan;nan;nan;0.87500;0.87500;0.87500;0.87500
0-0-0-0-1;nan;nan;nan;nan;0.56250;0.56250;0.56250;0.56250
1-2-0-0-0;nan;nan;nan;nan;0.59028;0.59028;0.59028;0.59028
1-0-2-0-0;nan;nan;nan;nan;0.60112;0.60112;0.60112;0.60112
1-0-0-2-0;nan;nan;nan;nan;0.68056;0.68056;0.68056;0.68056
1-0-0-0-2;nan;nan;nan;nan;0.61607;0.61607;0.61607;0.61607
0-1-2-0-0;nan;nan;nan;nan;0.54592;0.54592;0.54592;0.54592
0-1-0-2-0;nan;nan;nan;nan;0.58095;0.58095;0.58095;0.58095
0-1-0-0-2;nan;nan;nan;nan;0.53793;0.53793;0.53793;0.53793
0-0-1-2-0;nan;nan;nan;nan;0.48611;0.48611;0.48611;0.48611
0-0-1-0-2;nan;nan;nan;nan;0.49306;0.49306;0.49306;0.49306
0-0-0-1-2;nan;nan;nan;nan;0.56250;0.56250;0.56250;0.56250
1-2-3-0-0;nan;nan;nan;nan;0.58120;0.57931;0.57931;0.57931
1-2-0-3-0;nan;nan;nan;nan;0.55844;0.56190;0.56190;0.56190
1-2-0-0-3;nan;nan;nan;nan;0.54839;0.55556;0.55556;0.55556
1-0-2-3-0;nan;nan;nan;nan;0.58896;0.59686;0.59686;0.59686
1-0-2-0-3;nan;nan;nan;nan;0.58784;0.59659;0.59659;0.59659
1-0-0-2-3;nan;nan;nan;nan;0.87500;0.69444;0.69444;0.69444
0-1-2-3-0;nan;nan;nan;nan;0.53591;0.56250;0.56250;0.56250
0-1-2-0-3;nan;nan;nan;nan;0.53591;0.53591;0.53591;0.53591
0-1-0-2-3;nan;nan;nan;nan;0.51852;0.51852;0.51852;0.51852
0-0-1-2-3;nan;nan;nan;nan;0.46512;0.44186;0.44186;0.44186
1-2-3-4-0;nan;nan;nan;nan;0.53886;0.57258;0.57258;0.57258
1-2-3-0-4;nan;nan;nan;nan;0.53886;0.55204;0.55204;0.55204
1-2-0-3-4;nan;nan;nan;nan;0.55844;0.58095;0.58095;0.58095
1-0-2-3-4;nan;nan;nan;nan;0.53886;0.53846;0.53846;0.53846
0-1-2-3-4;nan;nan;nan;nan;0.53591;0.51934;0.51934;0.51934
1-2-3-4-5;nan;nan;nan;nan;0.53591;0.51934;0.51934;0.51934
