;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.00000;0.00000;0.00000;0.00000;0.19005;0.19005;0.19005;0.19005
0-1-0-0-0;0.00000;0.00000;0.00000;0.00000;0.21519;0.21519;0.21519;0.21519
0-0-1-0-0;0.00000;0.00000;0.00000;0.00000;0.27111;0.27111;0.27111;0.27111
0-0-0-1-0;0.00000;0.00000;0.00000;0.00000;0.22014;0.22014;0.22014;0.22014
0-0-0-0-1;0.00000;0.00000;0.00000;0.00000;0.22459;0.22459;0.22459;0.22459
1-2-0-0-0;0.00000;0.00000;0.00000;0.00000;0.23077;0.23077;0.23077;0.23077
1-0-2-0-0;0.00000;0.00000;0.00000;0.00000;0.27859;0.27859;0.27859;0.27859
1-0-0-2-0;0.00000;0.00000;0.00000;0.00000;0.25541;0.25541;0.25541;0.25541
1-0-0-0-2;0.00000;0.00000;0.00000;0.00000;0.24348;0.24348;0.24348;0.24348
0-1-2-0-0;0.00000;0.00000;0.00000;0.00000;0.26969;0.26969;0.26969;0.26969
0-1-0-2-0;0.00000;0.00000;0.00000;0.00000;0.24597;0.24597;0.24597;0.24597
0-1-0-0-2;0.00000;0.00000;0.00000;0.00000;0.23566;0.23566;0.23566;0.23566
0-0-1-2-0;0.00000;0.00000;0.00000;0.00000;0.28726;0.28726;0.28726;0.28726
0-0-1-0-2;0.00000;0.00000;0.00000;0.00000;0.28200;0.28200;0.28200;0.28200
0-0-0-1-2;0.00000;0.00000;0.00000;0.00000;0.25676;0.25676;0.25676;0.25676
1-2-3-0-0;0.00000;0.00000;0.00000;0.00000;0.24289;0.24138;0.24138;0.24138
1-2-0-3-0;0.00000;0.00000;0.00000;0.00000;0.24070;0.23504;0.23504;0.23504
1-2-0-0-3;0.00000;0.00000;0.00000;0.00000;0.24026;0.23718;0.23718;0.23718
1-0-2-3-0;0.00000;0.00000;0.00000;0.00000;0.27594;0.27233;0.27233;0.27233
1-0-2-0-3;0.00000;0.00000;0.00000;0.00000;0.27632;0.27039;0.27039;0.27039
1-0-0-2-3;0.00000;0.00000;0.00000;0.00000;0.25917;0.25393;0.25393;0.25393
0-1-2-3-0;0.00000;0.00000;0.00000;0.00000;0.27234;0.26778;0.26778;0.26778
0-1-2-0-3;0.00000;0.00000;0.00000;0.00000;0.26793;0.26793;0.26793;0.26793
0-1-0-2-3;0.00000;0.00000;0.00000;0.00000;0.25764;0.25486;0.25486;0.25486
0-0-1-2-3;0.00000;0.00000;0.00000;0.00000;0.28381;0.28194;0.28194;0.28194
1-2-3-4-0;0.00000;0.00000;0.00000;0.00000;0.28247;0.27935;0.27935;0.27935
1-2-3-0-4;0.00000;0.00000;0.00000;0.00000;0.27721;0.27439;0.27439;0.27439
1-2-0-3-4;0.00000;0.00000;0.00000;0.00000;0.26964;0.26514;0.26514;0.26514
1-0-2-3-4;0.00000;0.00000;0.00000;0.00000;0.30043;0.29536;0.29536;0.29536
0-1-2-3-4;0.00000;0.00000;0.00000;0.00000;0.28660;0.28601;0.28601;0.28601
1-2-3-4-5;0.00000;0.00000;0.00000;0.00000;0.27991;0.27813;0.28051;0.27813
