;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.48201;0.48201;0.48201;0.48201;0.43740;0.43740;0.43740;0.43740
0-1-0-0-0;0.48133;0.48133;0.48133;0.48133;0.43768;0.43768;0.43768;0.43768
0-0-1-0-0;0.47981;0.47981;0.47981;0.47981;0.44071;0.44071;0.44071;0.44071
0-0-0-1-0;0.48017;0.48017;0.48017;0.48017;0.43825;0.43825;0.43825;0.43825
0-0-0-0-1;0.48179;0.48179;0.48179;0.48179;0.43951;0.43951;0.43951;0.43951
1-2-0-0-0;0.47537;0.47537;0.47537;0.47537;0.43072;0.43072;0.43072;0.43072
1-0-2-0-0;0.47450;0.47450;0.47450;0.47450;0.43086;0.43086;0.43086;0.43086
1-0-0-2-0;0.47286;0.47286;0.47286;0.47286;0.42949;0.42949;0.42949;0.42949
1-0-0-0-2;0.47392;0.47392;0.47392;0.47392;0.43072;0.43072;0.43072;0.43072
0-1-2-0-0;0.47344;0.47344;0.47344;0.47344;0.43114;0.43114;0.43114;0.43114
0-1-0-2-0;0.47316;0.47316;0.47316;0.47316;0.43026;0.43026;0.43026;0.43026
0-1-0-0-2;0.47393;0.47393;0.47393;0.47393;0.43076;0.43076;0.43076;0.43076
0-0-1-2-0;0.47285;0.47285;0.47285;0.47285;0.43152;0.43152;0.43152;0.43152
0-0-1-0-2;0.47420;0.47420;0.47420;0.47420;0.43348;0.43348;0.43348;0.43348
0-0-0-1-2;0.47152;0.47152;0.47152;0.47152;0.43114;0.43114;0.43114;0.43114
1-2-3-0-0;0.46933;0.48168;0.48168;0.48168;0.42602;0.43948;0.43948;0.43948
1-2-0-3-0;0.46859;0.48275;0.48275;0.48275;0.42479;0.43896;0.43896;0.43896
1-2-0-0-3;0.46917;0.48314;0.48314;0.48314;0.42633;0.43945;0.43945;0.43945
1-0-2-3-0;0.46854;0.48248;0.48248;0.48248;0.42541;0.44036;0.44036;0.44036
1-0-2-0-3;0.46920;0.48283;0.48283;0.48283;0.42704;0.44150;0.44150;0.44150
1-0-0-2-3;0.46703;0.48304;0.48304;0.48304;0.42510;0.44027;0.44027;0.44027
0-1-2-3-0;0.46759;0.48139;0.48139;0.48139;0.42602;0.44014;0.44014;0.44014
0-1-2-0-3;0.46824;0.48160;0.48160;0.48160;0.42717;0.44068;0.44068;0.44068
0-1-0-2-3;0.46703;0.48217;0.48217;0.48217;0.42557;0.44001;0.44001;0.44001
0-0-1-2-3;0.46769;0.48188;0.48188;0.48188;0.42681;0.44089;0.44089;0.44089
1-2-3-4-0;0.46559;0.47841;0.47841;0.47841;0.42232;0.43531;0.43531;0.43531
1-2-3-0-4;0.46615;0.47876;0.47876;0.47876;0.42358;0.43614;0.43614;0.43614
1-2-0-3-4;0.46414;0.47834;0.47834;0.47834;0.42228;0.43570;0.43570;0.43570
1-0-2-3-4;0.46472;0.47868;0.47868;0.47868;0.42257;0.43665;0.43665;0.43665
0-1-2-3-4;0.46444;0.47808;0.47808;0.47808;0.42322;0.43646;0.43646;0.43646
1-2-3-4-5;0.47504;0.48305;0.47914;0.48305;0.43240;0.44092;0.43624;0.44092
