;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;2568;2568;2568;2568
0-1-0-0-0;0;0;0;0;3166;3166;3166;3166
0-0-1-0-0;0;0;0;0;3679;3679;3679;3679
0-0-0-1-0;0;0;0;0;2655;2655;2655;2655
0-0-0-0-1;0;0;0;0;3145;3145;3145;3145
1-2-0-0-0;0;0;0;0;3604;3604;3604;3604
1-0-2-0-0;0;0;0;0;4097;4097;4097;4097
1-0-0-2-0;0;0;0;0;3379;3379;3379;3379
1-0-0-0-2;0;0;0;0;3676;3676;3676;3676
0-1-2-0-0;0;0;0;0;4183;4183;4183;4183
0-1-0-2-0;0;0;0;0;3480;3480;3480;3480
0-1-0-0-2;0;0;0;0;3729;3729;3729;3729
0-0-1-2-0;0;0;0;0;3949;3949;3949;3949
0-0-1-0-2;0;0;0;0;4018;4018;4018;4018
0-0-0-1-2;0;0;0;0;3525;3525;3525;3525
1-2-3-0-0;0;0;0;0;3616;3640;3640;3640
1-2-0-3-0;0;0;0;0;3331;3448;3448;3448
1-2-0-0-3;0;0;0;0;3526;3547;3547;3547
1-0-2-3-0;0;0;0;0;3771;3829;3829;3829
1-0-2-0-3;0;0;0;0;3883;3880;3880;3880
1-0-0-2-3;0;0;0;0;3367;3510;3510;3510
0-1-2-3-0;0;0;0;0;3717;3923;3923;3923
0-1-2-0-3;0;0;0;0;4007;3982;3982;3982
0-1-0-2-3;0;0;0;0;3525;3659;3659;3659
0-0-1-2-3;0;0;0;0;3826;3861;3861;3861
1-2-3-4-0;0;0;0;0;3970;4103;4103;4103
1-2-3-0-4;0;0;0;0;4157;4198;4198;4198
1-2-0-3-4;0;0;0;0;3715;3956;3956;3956
1-0-2-3-4;0;0;0;0;4141;4219;4219;4219
0-1-2-3-4;0;0;0;0;4162;4277;4277;4277
1-2-3-4-5;0;0;0;0;3886;4094;4074;4094
