;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.00000;0.00000;0.00000;0.00000;0.13348;0.13348;0.13348;0.13348
0-1-0-0-0;0.00000;0.00000;0.00000;0.00000;0.19198;0.19198;0.19198;0.19198
0-0-1-0-0;0.00000;0.00000;0.00000;0.00000;0.14889;0.14889;0.14889;0.14889
0-0-0-1-0;0.00000;0.00000;0.00000;0.00000;0.10304;0.10304;0.10304;0.10304
0-0-0-0-1;0.00000;0.00000;0.00000;0.00000;0.09456;0.09456;0.09456;0.09456
1-2-0-0-0;0.00000;0.00000;0.00000;0.00000;0.22470;0.22470;0.22470;0.22470
1-0-2-0-0;0.00000;0.00000;0.00000;0.00000;0.20374;0.20374;0.20374;0.20374
1-0-0-2-0;0.00000;0.00000;0.00000;0.00000;0.17100;0.17100;0.17100;0.17100
1-0-0-0-2;0.00000;0.00000;0.00000;0.00000;0.16739;0.16739;0.16739;0.16739
0-1-2-0-0;0.00000;0.00000;0.00000;0.00000;0.24606;0.24606;0.24606;0.24606
0-1-0-2-0;0.00000;0.00000;0.00000;0.00000;0.22782;0.22782;0.22782;0.22782
0-1-0-0-2;0.00000;0.00000;0.00000;0.00000;0.21516;0.21516;0.21516;0.21516
0-0-1-2-0;0.00000;0.00000;0.00000;0.00000;0.17279;0.17279;0.17279;0.17279
0-0-1-0-2;0.00000;0.00000;0.00000;0.00000;0.16920;0.16920;0.16920;0.16920
0-0-0-1-2;0.00000;0.00000;0.00000;0.00000;0.13739;0.13739;0.13739;0.13739
1-2-3-0-0;0.00000;0.00000;0.00000;0.00000;0.16193;0.17457;0.17457;0.17457
1-2-0-3-0;0.00000;0.00000;0.00000;0.00000;0.16193;0.18162;0.18162;0.18162
1-2-0-0-3;0.00000;0.00000;0.00000;0.00000;0.17100;0.18162;0.18162;0.18162
1-0-2-3-0;0.00000;0.00000;0.00000;0.00000;0.15453;0.16558;0.16558;0.16558
1-0-2-0-3;0.00000;0.00000;0.00000;0.00000;0.16009;0.17811;0.17811;0.17811
1-0-0-2-3;0.00000;0.00000;0.00000;0.00000;0.12156;0.13933;0.13933;0.13933
0-1-2-3-0;0.00000;0.00000;0.00000;0.00000;0.18511;0.19874;0.19874;0.19874
0-1-2-0-3;0.00000;0.00000;0.00000;0.00000;0.19198;0.19198;0.19198;0.19198
0-1-0-2-3;0.00000;0.00000;0.00000;0.00000;0.16376;0.17279;0.17279;0.17279
0-0-1-2-3;0.00000;0.00000;0.00000;0.00000;0.15078;0.15639;0.15639;0.15639
1-2-3-4-0;0.00000;0.00000;0.00000;0.00000;0.21031;0.22470;0.22470;0.22470
1-2-3-0-4;0.00000;0.00000;0.00000;0.00000;0.21355;0.22154;0.22154;0.22154
1-2-0-3-4;0.00000;0.00000;0.00000;0.00000;0.18684;0.20042;0.20042;0.20042
1-0-2-3-4;0.00000;0.00000;0.00000;0.00000;0.17811;0.19198;0.19198;0.19198
0-1-2-3-4;0.00000;0.00000;0.00000;0.00000;0.21031;0.21193;0.21193;0.21193
1-2-3-4-5;0.00000;0.00000;0.00000;0.00000;0.18162;0.18684;0.17987;0.18684
