;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.53141;0.53141;0.53141;0.53141
0-1-0-0-0;nan;nan;nan;nan;0.50732;0.50732;0.50732;0.50732
0-0-1-0-0;nan;nan;nan;nan;0.51348;0.51348;0.51348;0.51348
0-0-0-1-0;nan;nan;nan;nan;0.51121;0.51121;0.51121;0.51121
0-0-0-0-1;nan;nan;nan;nan;0.51373;0.51373;0.51373;0.51373
1-2-0-0-0;nan;nan;nan;nan;0.52772;0.52772;0.52772;0.52772
1-0-2-0-0;nan;nan;nan;nan;0.52649;0.52649;0.52649;0.52649
1-0-0-2-0;nan;nan;nan;nan;0.53235;0.53235;0.53235;0.53235
1-0-0-0-2;nan;nan;nan;nan;0.53650;0.53650;0.53650;0.53650
0-1-2-0-0;nan;nan;nan;nan;0.52013;0.52013;0.52013;0.52013
0-1-0-2-0;nan;nan;nan;nan;0.52423;0.52423;0.52423;0.52423
0-1-0-0-2;nan;nan;nan;nan;0.52467;0.52467;0.52467;0.52467
0-0-1-2-0;nan;nan;nan;nan;0.52374;0.52374;0.52374;0.52374
0-0-1-0-2;nan;nan;nan;nan;0.52402;0.52402;0.52402;0.52402
0-0-0-1-2;nan;nan;nan;nan;0.52087;0.52087;0.52087;0.52087
1-2-3-0-0;nan;nan;nan;nan;0.53542;0.52218;0.52218;0.52218
1-2-0-3-0;nan;nan;nan;nan;0.53808;0.52322;0.52322;0.52322
1-2-0-0-3;nan;nan;nan;nan;0.53962;0.52204;0.52204;0.52204
1-0-2-3-0;nan;nan;nan;nan;0.53330;0.52125;0.52125;0.52125
1-0-2-0-3;nan;nan;nan;nan;0.53678;0.52407;0.52407;0.52407
1-0-0-2-3;nan;nan;nan;nan;0.53492;0.52132;0.52132;0.52132
0-1-2-3-0;nan;nan;nan;nan;0.52736;0.51349;0.51349;0.51349
0-1-2-0-3;nan;nan;nan;nan;0.52763;0.51403;0.51403;0.51403
0-1-0-2-3;nan;nan;nan;nan;0.52790;0.51199;0.51199;0.51199
0-0-1-2-3;nan;nan;nan;nan;0.52848;0.51217;0.51217;0.51217
1-2-3-4-0;nan;nan;nan;nan;0.53475;0.52224;0.52224;0.52224
1-2-3-0-4;nan;nan;nan;nan;0.53815;0.52428;0.52428;0.52428
1-2-0-3-4;nan;nan;nan;nan;0.53555;0.51889;0.51889;0.51889
1-0-2-3-4;nan;nan;nan;nan;0.53722;0.52142;0.52142;0.52142
0-1-2-3-4;nan;nan;nan;nan;0.53130;0.51535;0.51535;0.51535
1-2-3-4-5;nan;nan;nan;nan;0.53130;0.51504;0.52074;0.51504
