;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.10302;0.10302;0.10302;0.10302
0-1-0-0-0;nan;nan;nan;nan;0.08952;0.08952;0.08952;0.08952
0-0-1-0-0;nan;nan;nan;nan;0.09587;0.09587;0.09587;0.09587
0-0-0-1-0;nan;nan;nan;nan;0.09814;0.09814;0.09814;0.09814
0-0-0-0-1;nan;nan;nan;nan;0.08441;0.08441;0.08441;0.08441
1-2-0-0-0;nan;nan;nan;nan;0.10753;0.10753;0.10753;0.10753
1-0-2-0-0;nan;nan;nan;nan;0.11112;0.11112;0.11112;0.11112
1-0-0-2-0;nan;nan;nan;nan;0.11627;0.11627;0.11627;0.11627
1-0-0-0-2;nan;nan;nan;nan;0.10438;0.10438;0.10438;0.10438
0-1-2-0-0;nan;nan;nan;nan;0.10602;0.10602;0.10602;0.10602
0-1-0-2-0;nan;nan;nan;nan;0.10640;0.10640;0.10640;0.10640
0-1-0-0-2;nan;nan;nan;nan;0.10092;0.10092;0.10092;0.10092
0-0-1-2-0;nan;nan;nan;nan;0.11288;0.11288;0.11288;0.11288
0-0-1-0-2;nan;nan;nan;nan;0.10733;0.10733;0.10733;0.10733
0-0-0-1-2;nan;nan;nan;nan;0.10702;0.10702;0.10702;0.10702
1-2-3-0-0;nan;nan;nan;nan;0.11511;0.09924;0.09924;0.09924
1-2-0-3-0;nan;nan;nan;nan;0.11855;0.10037;0.10037;0.10037
1-2-0-0-3;nan;nan;nan;nan;0.11513;0.10096;0.10096;0.10096
1-0-2-3-0;nan;nan;nan;nan;0.12511;0.10758;0.10758;0.10758
1-0-2-0-3;nan;nan;nan;nan;0.11885;0.10350;0.10350;0.10350
1-0-0-2-3;nan;nan;nan;nan;0.12521;0.10720;0.10720;0.10720
0-1-2-3-0;nan;nan;nan;nan;0.11921;0.10212;0.10212;0.10212
0-1-2-0-3;nan;nan;nan;nan;0.11323;0.09767;0.09767;0.09767
0-1-0-2-3;nan;nan;nan;nan;0.11756;0.10153;0.10153;0.10153
0-0-1-2-3;nan;nan;nan;nan;0.12098;0.10065;0.10065;0.10065
1-2-3-4-0;nan;nan;nan;nan;0.12666;0.10959;0.10959;0.10959
1-2-3-0-4;nan;nan;nan;nan;0.12168;0.10504;0.10504;0.10504
1-2-0-3-4;nan;nan;nan;nan;0.12651;0.10724;0.10724;0.10724
1-0-2-3-4;nan;nan;nan;nan;0.12971;0.10953;0.10953;0.10953
0-1-2-3-4;nan;nan;nan;nan;0.12380;0.10616;0.10616;0.10616
1-2-3-4-5;nan;nan;nan;nan;0.11760;0.10092;0.10641;0.10092
