;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;67;67;0
0-1-0-0-0;79;79;0
0-0-1-0-0;91;91;0
0-0-0-1-0;68;68;0
0-0-0-0-1;72;72;0
1-2-0-0-0;87;87;67
1-0-2-0-0;99;99;65
1-0-0-2-0;86;86;62
1-0-0-0-2;83;83;63
0-1-2-0-0;101;101;77
0-1-0-2-0;91;91;73
0-1-0-0-2;88;88;75
0-0-1-2-0;98;98;85
0-0-1-0-2;95;95;84
0-0-0-1-2;84;84;66
1-2-3-0-0;85;86;85
1-2-0-3-0;84;84;84
1-2-0-0-3;85;85;85
1-0-2-3-0;92;92;93
1-0-2-0-3;93;93;93
1-0-0-2-3;84;84;84
0-1-2-3-0;96;96;96
0-1-2-0-3;94;94;94
0-1-0-2-3;89;89;89
0-0-1-2-3;95;95;95
1-2-3-4-0;101;102;102
1-2-3-0-4;100;100;100
1-2-0-3-4;96;96;96
1-0-2-3-4;103;103;103
0-1-2-3-4;103;103;103
1-2-3-4-5;98;98;98
