;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.05016;0.05016;0.05016;0.05016;0.05016;0.01323;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.05016;0.01323;0.05016;0.05016
0-1-0-0-0;0.04725;0.04725;0.04725;0.04725;0.04725;0.01049;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.04725;0.01049;0.04725;0.04725
0-0-1-0-0;0.04271;0.04271;0.04271;0.04271;0.04271;0.00904;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.04271;0.00904;0.04271;0.04271
0-0-0-1-0;0.04606;0.04606;0.04606;0.04606;0.04606;0.01010;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.04606;0.01010;0.04606;0.04606
0-0-0-0-1;0.04371;0.04371;0.04371;0.04371;0.04371;0.01058;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.04371;0.01058;0.04371;0.04371
1-2-0-0-0;0.03989;0.03986;0.03986;0.03989;0.03989;0.01148;0.03986;0.03986;0.03989;0.03986;0.03986;0.03989;0.03989;0.03989;0.03989;0.03986;0.03989;0.03986;0.01151;0.03989;0.03986
1-0-2-0-0;0.03622;0.03625;0.03625;0.03622;0.03622;0.01047;0.03625;0.03625;0.03622;0.03625;0.03625;0.03622;0.03622;0.03622;0.03622;0.03625;0.03622;0.03625;0.01051;0.03622;0.03625
1-0-0-2-0;0.03755;0.03709;0.03709;0.03755;0.03755;0.01062;0.03709;0.03709;0.03755;0.03709;0.03709;0.03755;0.03755;0.03755;0.03755;0.03709;0.03755;0.03709;0.01077;0.03755;0.03709
1-0-0-0-2;0.03609;0.03616;0.03616;0.03609;0.03609;0.01154;0.03616;0.03616;0.03609;0.03616;0.03616;0.03609;0.03609;0.03609;0.03609;0.03616;0.03609;0.03616;0.01146;0.03609;0.03616
0-1-2-0-0;0.03548;0.03560;0.03560;0.03548;0.03548;0.00951;0.03560;0.03560;0.03548;0.03560;0.03560;0.03548;0.03548;0.03548;0.03548;0.03560;0.03548;0.03560;0.00944;0.03548;0.03560
