;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1370;1370
0-1-0-0-0;1841;1841
0-0-1-0-0;2086;2086
0-0-0-1-0;1507;1507
0-0-0-0-1;1786;1786
1-2-0-0-0;1898;1898
1-0-2-0-0;2166;2166
1-0-0-2-0;1790;1790
1-0-0-0-2;1896;1896
0-1-2-0-0;2280;2280
0-1-0-2-0;1957;1957
0-1-0-0-2;1961;1961
0-0-1-2-0;2107;2107
0-0-1-0-2;2134;2134
0-0-0-1-2;1886;1886
1-2-3-0-0;1981;1981
1-2-0-3-0;1875;1875
1-2-0-0-3;1881;1881
1-0-2-3-0;2100;2100
1-0-2-0-3;2079;2079
1-0-0-2-3;1861;1861
0-1-2-3-0;2216;2216
0-1-2-0-3;2230;2230
0-1-0-2-3;2047;2047
0-0-1-2-3;2207;2207
1-2-3-4-0;2248;2248
1-2-3-0-4;2249;2249
1-2-0-3-4;2109;2109
1-0-2-3-4;2306;2306
0-1-2-3-4;2373;2373
1-2-3-4-5;2254;2254
