;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.93194;0.93194
0-1-0-0-0;0.86139;0.86139
0-0-1-0-0;0.88325;0.88325
0-0-0-1-0;0.94211;0.94211
0-0-0-0-1;0.90306;0.90306
1-2-0-0-0;0.86500;0.86500
1-0-2-0-0;0.85427;0.85427
1-0-0-2-0;0.90206;0.90206
1-0-0-0-2;0.86000;0.86000
0-1-2-0-0;0.82927;0.82927
0-1-0-2-0;0.86139;0.86139
0-1-0-0-2;0.84653;0.84653
0-0-1-2-0;0.88718;0.88718
0-0-1-0-2;0.86500;0.86500
0-0-0-1-2;0.89796;0.89796
1-2-3-0-0;0.87817;0.87817
1-2-0-3-0;0.89231;0.89231
1-2-0-0-3;0.88832;0.88832
1-0-2-3-0;0.88144;0.88144
1-0-2-0-3;0.88205;0.88205
1-0-0-2-3;0.92188;0.92188
0-1-2-3-0;0.87310;0.87310
0-1-2-0-3;0.85500;0.85500
0-1-0-2-3;0.89286;0.89286
0-0-1-2-3;0.89691;0.89691
1-2-3-4-0;0.86364;0.86364
1-2-3-0-4;0.84158;0.84158
1-2-0-3-4;0.87000;0.87000
1-0-2-3-4;0.86364;0.86364
0-1-2-3-4;0.84653;0.84653
1-2-3-4-5;0.85075;0.85075
