mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_s;tp_s%;tp_m;tp_m%;tp_l;tp_l%;tp_2;tp_2%;tp_2_s;tp_2_s%;tp_2_m;tp_2_m%;tp_2_l;tp_2_l%;fp;fp%;fp_s;fp_s%;fp_m;fp_m%;fp_l;fp_l%;fp_2;fp_2%;fp_2_s;fp_2_s%;fp_2_m;fp_2_m%;fp_2_l;fp_2_l%;tn;tn%;tn_s;tn_s%;tn_m;tn_m%;tn_l;tn_l%;tn_2;tn_2%;tn_2_s;tn_2_s%;tn_2_m;tn_2_m%;tn_2_l;tn_2_l%;fn;fn%;fn_s;fn_s%;fn_m;fn_m%;fn_l;fn_l%;fn_2;fn_2%;fn_2_s;fn_2_s%;fn_2_m;fn_2_m%;fn_2_l;fn_2_l%;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;c_cg;c_cg%;c_cg_s;c_cg_s%;c_cg_m;c_cg_m%;c_cg_l;c_cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;c_ig;c_ig%;c_ig_s;c_ig_s%;c_ig_m;c_ig_m%;c_ig_l;c_ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%;c_ng;c_ng%;c_ng_s;c_ng_s%;c_ng_m;c_ng_m%;c_ng_l;c_ng_l%
1;0;0;0;0;0.511;0.451;102890481;0.48176;135;0.55785;3384;0.53141;102886962;0.48176;102893830;0.46423;65;0.65000;2568;0.52742;102887848;0.48176;7604724;0.03561;52;0.21488;656;0.10302;7604016;0.03560;9931754;0.04481;12;0.12000;474;0.09735;7604238;0.03561;93417455;0.43740;41;0.16942;1723;0.27057;93415691;0.43741;99156633;0.44737;15;0.15000;1370;0.28137;93416070;0.43741;9660240;0.04523;14;0.05785;605;0.09501;9659621;0.04523;9662737;0.04360;8;0.08000;457;0.09386;9659775;0.04523;8369;0.65603;8;0.04188;84;0.19005;8277;0.68270;4101;0.57687;5;0.03676;67;0.20872;4029;0.60568;1753;0.13741;5;0.02618;59;0.13348;1689;0.13931;1142;0.16064;4;0.02941;39;0.12150;1099;0.16521;2635;0.20655;178;0.93194;299;0.67647;2158;0.17799;1866;0.26248;127;0.93382;215;0.66978;1524;0.22910
0;1;0;0;0;0.537;0.460;103226216;0.48310;206;0.57222;3814;0.50732;103222196;0.48310;103229948;0.46542;94;0.54651;3166;0.50868;103222956;0.48310;7556828;0.03537;62;0.17222;673;0.08952;7556093;0.03536;10187829;0.04593;35;0.20349;513;0.08242;7556280;0.03536;93519674;0.43768;57;0.15833;2186;0.29077;93517431;0.43768;99009050;0.44639;22;0.12791;1841;0.29579;93517811;0.43768;9369945;0.04385;35;0.09722;845;0.11240;9369065;0.04385;9372203;0.04226;21;0.12209;704;0.11311;9369220;0.04385;8521;0.65375;12;0.05941;102;0.21519;8407;0.68029;4236;0.57484;9;0.06122;79;0.23167;4148;0.60282;2030;0.15575;16;0.07921;91;0.19198;1923;0.15561;1402;0.19026;15;0.10204;59;0.17302;1328;0.19300;2483;0.19050;174;0.86139;281;0.59283;2028;0.16410;1731;0.23490;123;0.83673;203;0.59531;1405;0.20419
0;0;1;0;0;0.550;0.478;105329641;0.48767;199;0.58017;4515;0.51348;105324927;0.48767;105333772;0.47300;71;0.49306;3679;0.50977;105325891;0.48767;6927663;0.03207;68;0.19825;843;0.09587;6926752;0.03207;8775431;0.03941;35;0.24306;650;0.09007;6926978;0.03207;95186319;0.44071;58;0.16910;2464;0.28022;95183797;0.44072;100041507;0.44924;31;0.21528;2086;0.28904;95184202;0.44072;8539959;0.03954;18;0.05248;971;0.11043;8538970;0.03954;8541830;0.03836;7;0.04861;802;0.11113;8539150;0.03954;8619;0.68215;12;0.06091;122;0.27111;8485;0.70779;4251;0.60668;9;0.06475;91;0.28349;4151;0.63403;1631;0.12909;11;0.05584;67;0.14889;1553;0.12955;1040;0.14842;7;0.05036;39;0.12150;994;0.15183;2385;0.18876;174;0.88325;261;0.58000;1950;0.16266;1716;0.24490;123;0.88489;191;0.59502;1402;0.21414
0;0;0;1;0;0.528;0.451;103680045;0.48477;141;0.63229;3443;0.51121;103676461;0.48477;103684029;0.47008;7;0.87500;2655;0.51038;103677383;0.48477;7457645;0.03487;42;0.18834;661;0.09814;7456942;0.03487;9450401;0.04285;1;0.12500;501;0.09631;7457143;0.03487;93729151;0.43825;26;0.11659;1930;0.28656;93727195;0.43825;98425212;0.44623;0;0.00000;1507;0.28970;93727644;0.43825;9006559;0.04211;14;0.06278;701;0.10408;9005844;0.04211;9008978;0.04084;0;0.00000;539;0.10361;9006020;0.04211;8348;0.67524;7;0.03684;94;0.22014;8247;0.70211;4028;0.59656;5;0.03704;68;0.22222;3955;0.62668;1359;0.10992;4;0.02105;44;0.10304;1311;0.11161;785;0.11626;3;0.02222;24;0.07843;758;0.12011;2656;0.21483;179;0.94211;289;0.67681;2188;0.18628;1939;0.28717;127;0.94074;214;0.69935;1598;0.25321
0;0;0;0;1;0.522;0.460;103692635;0.48842;160;0.59701;3591;0.51373;103688884;0.48842;103696509;0.47164;27;0.56250;3145;0.51642;103689463;0.48842;6839161;0.03221;32;0.11940;590;0.08441;6838539;0.03221;8856213;0.04028;1;0.02083;499;0.08194;6838661;0.03221;93308338;0.43951;47;0.17537;2042;0.29213;93306249;0.43952;98849517;0.44959;12;0.25000;1786;0.29327;93306540;0.43952;8460019;0.03985;29;0.10821;767;0.10973;8459223;0.03985;8461725;0.03849;8;0.16667;660;0.10837;8459351;0.03985;8273;0.67075;9;0.04592;95;0.22459;8169;0.69731;4026;0.59813;7;0.05072;72;0.23684;3947;0.62760;1330;0.10783;10;0.05102;40;0.09456;1280;0.10926;764;0.11350;6;0.04348;22;0.07237;736;0.11703;2731;0.22142;177;0.90306;288;0.68085;2266;0.19343;1941;0.28837;125;0.90580;210;0.69079;1606;0.25537
1;2;0;0;0;0.543;0.472;105657522;0.48886;242;0.60500;4417;0.52772;105652863;0.48885;105661660;0.46905;85;0.59028;3604;0.52938;105653833;0.48886;9343568;0.04323;73;0.18250;900;0.10753;9342595;0.04323;12165217;0.05400;33;0.22917;665;0.09768;9342870;0.04323;93091549;0.43072;61;0.15250;2280;0.27240;93089208;0.43072;99401109;0.44125;18;0.12500;1898;0.27879;93089633;0.43072;8039247;0.03720;24;0.06000;773;0.09235;8038450;0.03719;8041667;0.03570;8;0.05556;641;0.09415;8038598;0.03719;8775;0.65125;13;0.06500;114;0.23077;8648;0.67668;4379;0.57908;9;0.06250;87;0.24857;4283;0.60597;2470;0.18332;14;0.07000;111;0.22470;2345;0.18349;1595;0.21092;12;0.08333;68;0.19429;1515;0.21435;2229;0.16543;173;0.86500;269;0.54453;1787;0.13983;1588;0.21000;123;0.85417;195;0.55714;1270;0.17968
1;0;2;0;0;0.559;0.486;107492199;0.49379;288;0.60632;5117;0.52649;107486794;0.49379;107496544;0.47572;107;0.60112;4097;0.52224;107487995;0.49379;9288127;0.04267;89;0.18737;1080;0.11112;9286958;0.04266;11668170;0.05164;29;0.16292;847;0.10797;9287251;0.04266;93794187;0.43086;77;0.16211;2587;0.26618;93791523;0.43087;99685694;0.44115;34;0.19101;2166;0.27610;93791987;0.43087;7114896;0.03268;21;0.04421;935;0.09620;7113940;0.03268;7116875;0.03150;8;0.04494;735;0.09369;7114153;0.03268;8943;0.66659;16;0.08040;134;0.27859;8793;0.69041;4480;0.59917;11;0.07857;99;0.28779;4370;0.62491;2412;0.17979;13;0.06533;98;0.20374;2301;0.18067;1510;0.20195;8;0.05714;62;0.18023;1440;0.20592;2061;0.15362;170;0.85427;249;0.51767;1642;0.12893;1487;0.19888;121;0.86429;183;0.53198;1183;0.16917
1;0;0;2;0;0.547;0.472;106745753;0.49216;214;0.62029;4533;0.53235;106741006;0.49216;106750092;0.47401;49;0.68056;3379;0.52105;106742325;0.49216;9614662;0.04433;71;0.20580;990;0.11627;9613601;0.04433;12120970;0.05382;11;0.15278;733;0.11303;9613918;0.04433;93152272;0.42949;45;0.13043;2246;0.26377;93149981;0.42949;98956376;0.43940;9;0.12500;1790;0.27602;93150473;0.42949;7379038;0.03402;15;0.04348;746;0.08761;7378277;0.03402;7381198;0.03277;3;0.04167;583;0.08990;7378452;0.03402;8828;0.66351;11;0.05670;118;0.25541;8699;0.68772;4393;0.59736;7;0.05072;86;0.26220;4300;0.62427;2301;0.17294;8;0.04124;79;0.17100;2214;0.17503;1387;0.18860;6;0.04348;46;0.14024;1335;0.19382;2176;0.16355;175;0.90206;265;0.57359;1736;0.13724;1574;0.21403;125;0.90580;196;0.59756;1253;0.18191
1;0;0;0;2;0.543;0.476;106603849;0.49337;258;0.60000;4446;0.53650;106599145;0.49337;106608085;0.47347;69;0.61607;3676;0.53516;106600104;0.49337;9211571;0.04263;69;0.16047;865;0.10438;9210637;0.04263;11906469;0.05288;11;0.09821;705;0.10264;9210855;0.04263;93068123;0.43072;72;0.16744;2250;0.27151;93065801;0.43073;99455771;0.44171;21;0.18750;1896;0.27602;93066206;0.43073;7189725;0.03327;31;0.07209;726;0.08761;7188968;0.03327;7191788;0.03194;11;0.09821;592;0.08618;7189122;0.03327;8763;0.66181;14;0.07000;112;0.24348;8637;0.68651;4372;0.59548;10;0.07092;83;0.25382;4279;0.62249;2237;0.16894;14;0.07000;77;0.16739;2146;0.17057;1375;0.18728;9;0.06383;45;0.13761;1321;0.19217;2241;0.16925;172;0.86000;271;0.58913;1798;0.14291;1595;0.21724;122;0.86525;199;0.60856;1274;0.18534
0;1;2;0;0;0.566;0.490;107486298;0.49348;277;0.58316;5156;0.52013;107480865;0.49348;107490953;0.47556;107;0.54592;4183;0.51527;107482008;0.49348;9207398;0.04227;83;0.17474;1051;0.10602;9206264;0.04227;11756320;0.05201;37;0.18878;810;0.09978;9206551;0.04227;93906873;0.43114;82;0.17263;2682;0.27055;93904109;0.43115;99568541;0.44051;40;0.20408;2280;0.28086;93904553;0.43114;7210736;0.03311;33;0.06947;1024;0.10330;7209679;0.03310;7212754;0.03191;12;0.06122;845;0.10409;7209879;0.03310;8981;0.65916;16;0.07805;137;0.26969;8828;0.68371;4514;0.58853;12;0.08219;101;0.28134;4401;0.61424;2621;0.19237;19;0.09268;125;0.24606;2477;0.19184;1703;0.22203;14;0.09589;77;0.21448;1612;0.22498;2023;0.14848;170;0.82927;246;0.48425;1607;0.12446;1453;0.18944;120;0.82192;181;0.50418;1152;0.16078
0;1;0;2;0;0.558;0.478;106899247;0.49106;219;0.60833;4641;0.52423;106894387;0.49106;106903764;0.47309;61;0.58095;3480;0.51487;106895706;0.49106;9531259;0.04378;68;0.18889;942;0.10640;9530249;0.04378;12073334;0.05343;24;0.22857;683;0.10105;9530552;0.04378;93662629;0.43026;51;0.14167;2437;0.27527;93660141;0.43026;99394745;0.43986;14;0.13333;1957;0.28954;93660658;0.43026;7596709;0.03490;22;0.06111;833;0.09409;7595854;0.03489;7598926;0.03363;6;0.05714;639;0.09454;7596064;0.03490;8915;0.65959;12;0.05941;122;0.24597;8781;0.68505;4462;0.58998;9;0.06164;91;0.26000;4362;0.61724;2512;0.18585;16;0.07921;113;0.22782;2383;0.18591;1596;0.21103;14;0.09589;68;0.19429;1514;0.21424;2089;0.15456;174;0.86139;261;0.52621;1654;0.12904;1505;0.19900;123;0.84247;191;0.54571;1191;0.16853
0;1;0;0;2;0.551;0.478;106570472;0.49345;260;0.58427;4445;0.52467;106565767;0.49345;106574887;0.47394;78;0.53793;3729;0.52774;106566665;0.49345;9143076;0.04234;71;0.15955;855;0.10092;9142150;0.04233;11838682;0.05265;23;0.15862;694;0.09822;9142359;0.04233;93029810;0.43076;73;0.16404;2346;0.27691;93027391;0.43076;99229768;0.44128;27;0.18621;1961;0.27753;93027822;0.43076;7225299;0.03346;41;0.09213;826;0.09750;7224432;0.03345;7227081;0.03214;17;0.11724;682;0.09652;7224600;0.03345;8821;0.65589;15;0.07426;115;0.23566;8691;0.68117;4425;0.58578;12;0.08392;88;0.25215;4325;0.61243;2445;0.18180;16;0.07921;105;0.21516;2324;0.18215;1587;0.21009;11;0.07692;67;0.19198;1509;0.21368;2183;0.16232;171;0.84653;268;0.54918;1744;0.13669;1542;0.20413;120;0.83916;194;0.55587;1228;0.17389
0;0;1;2;0;0.559;0.483;107587044;0.49435;224;0.58486;4974;0.52374;107581846;0.49435;107591783;0.47789;70;0.48611;3949;0.51845;107583025;0.49435;9093302;0.04178;80;0.20888;1072;0.11288;9092150;0.04178;11316612;0.05026;34;0.23611;824;0.10818;9092444;0.04178;93912194;0.43152;60;0.15666;2531;0.26651;93909603;0.43152;99189109;0.44057;32;0.22222;2107;0.27662;93910055;0.43152;7040045;0.03235;19;0.04961;920;0.09687;7039106;0.03235;7042089;0.03128;8;0.05556;737;0.09676;7039300;0.03235;8867;0.67620;13;0.06667;133;0.28726;8721;0.70020;4398;0.60914;10;0.07246;98;0.30154;4290;0.63490;2109;0.16083;9;0.04615;80;0.17279;2020;0.16218;1253;0.17355;6;0.04348;43;0.13231;1204;0.17819;2137;0.16297;173;0.88718;250;0.53996;1714;0.13762;1569;0.21731;122;0.88406;184;0.56615;1263;0.18692
